"Daily Minimum data	   supplied by UK-air on 12/04/2020",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Cardiff Centre,,Cardiff Newport Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
12/09/1998,19,V ugm-3,No data,null
13/09/1998,11,V ugm-3,No data,null
14/09/1998,19,V ugm-3,No data,null
15/09/1998,13,V ugm-3,No data,null
16/09/1998,13,V ugm-3,No data,null
17/09/1998,31,V ugm-3,No data,null
18/09/1998,23,V ugm-3,No data,null
19/09/1998,19,V ugm-3,No data,null
20/09/1998,15,V ugm-3,No data,null
21/09/1998,No data,V ugm-3,No data,null
22/09/1998,No data,V ugm-3,No data,null
23/09/1998,No data,V ugm-3,No data,null
24/09/1998,29,V ugm-3,No data,null
25/09/1998,31,V ugm-3,No data,null
26/09/1998,25,V ugm-3,No data,null
27/09/1998,17,V ugm-3,No data,null
28/09/1998,27,V ugm-3,No data,null
29/09/1998,15,V ugm-3,No data,null
30/09/1998,8,V ugm-3,No data,null
01/10/1998,11,V ugm-3,No data,null
02/10/1998,13,V ugm-3,No data,null
03/10/1998,17,V ugm-3,No data,null
04/10/1998,10,V ugm-3,No data,null
05/10/1998,8,V ugm-3,No data,null
06/10/1998,11,V ugm-3,No data,null
07/10/1998,10,V ugm-3,No data,null
08/10/1998,15,V ugm-3,No data,null
09/10/1998,34,V ugm-3,No data,null
10/10/1998,19,V ugm-3,No data,null
11/10/1998,8,V ugm-3,No data,null
12/10/1998,11,V ugm-3,No data,null
13/10/1998,17,V ugm-3,No data,null
14/10/1998,8,V ugm-3,No data,null
15/10/1998,46,V ugm-3,No data,null
16/10/1998,21,V ugm-3,No data,null
17/10/1998,21,V ugm-3,No data,null
18/10/1998,19,V ugm-3,No data,null
19/10/1998,29,V ugm-3,No data,null
20/10/1998,8,V ugm-3,No data,null
21/10/1998,4,V ugm-3,No data,null
22/10/1998,8,V ugm-3,No data,null
23/10/1998,6,V ugm-3,No data,null
24/10/1998,8,V ugm-3,No data,null
25/10/1998,8,V ugm-3,No data,null
26/10/1998,11,V ugm-3,No data,null
27/10/1998,8,V ugm-3,No data,null
28/10/1998,6,V ugm-3,No data,null
29/10/1998,8,V ugm-3,No data,null
30/10/1998,6,V ugm-3,No data,null
31/10/1998,29,V ugm-3,No data,null
01/11/1998,10,V ugm-3,No data,null
02/11/1998,11,V ugm-3,No data,null
03/11/1998,8,V ugm-3,No data,null
04/11/1998,21,V ugm-3,No data,null
05/11/1998,21,V ugm-3,No data,null
06/11/1998,15,V ugm-3,No data,null
07/11/1998,10,V ugm-3,No data,null
08/11/1998,4,V ugm-3,No data,null
09/11/1998,4,V ugm-3,No data,null
10/11/1998,10,V ugm-3,No data,null
11/11/1998,6,V ugm-3,No data,null
12/11/1998,10,V ugm-3,No data,null
13/11/1998,32,V ugm-3,No data,null
14/11/1998,13,V ugm-3,No data,null
15/11/1998,17,V ugm-3,No data,null
16/11/1998,27,V ugm-3,No data,null
17/11/1998,52,V ugm-3,No data,null
18/11/1998,38,V ugm-3,No data,null
19/11/1998,29,V ugm-3,No data,null
20/11/1998,17,V ugm-3,No data,null
21/11/1998,11,V ugm-3,No data,null
22/11/1998,10,V ugm-3,No data,null
23/11/1998,36,V ugm-3,No data,null
24/11/1998,13,V ugm-3,No data,null
25/11/1998,32,V ugm-3,No data,null
26/11/1998,32,V ugm-3,No data,null
27/11/1998,25,V ugm-3,No data,null
28/11/1998,11,V ugm-3,No data,null
29/11/1998,21,V ugm-3,No data,null
30/11/1998,8,V ugm-3,No data,null
01/12/1998,48,V ugm-3,No data,null
02/12/1998,27,V ugm-3,No data,null
03/12/1998,23,V ugm-3,No data,null
04/12/1998,34,V ugm-3,No data,null
05/12/1998,44,V ugm-3,No data,null
06/12/1998,48,V ugm-3,No data,null
07/12/1998,32,V ugm-3,No data,null
08/12/1998,23,V ugm-3,No data,null
09/12/1998,46,V ugm-3,No data,null
10/12/1998,15,V ugm-3,No data,null
11/12/1998,25,V ugm-3,No data,null
12/12/1998,17,V ugm-3,No data,null
13/12/1998,11,V ugm-3,No data,null
14/12/1998,11,V ugm-3,No data,null
15/12/1998,19,V ugm-3,No data,null
16/12/1998,27,V ugm-3,No data,null
17/12/1998,23,V ugm-3,No data,null
18/12/1998,31,V ugm-3,No data,null
19/12/1998,21,V ugm-3,No data,null
20/12/1998,21,V ugm-3,No data,null
21/12/1998,48,V ugm-3,No data,null
22/12/1998,38,V ugm-3,No data,null
23/12/1998,17,V ugm-3,No data,null
24/12/1998,17,V ugm-3,No data,null
25/12/1998,4,V ugm-3,No data,null
26/12/1998,6,V ugm-3,No data,null
27/12/1998,8,V ugm-3,No data,null
28/12/1998,10,V ugm-3,No data,null
29/12/1998,15,V ugm-3,No data,null
30/12/1998,13,V ugm-3,No data,null
31/12/1998,15,V ugm-3,No data,null
01/01/1999,6,V ugm-3,No data,null
02/01/1999,4,V ugm-3,No data,null
03/01/1999,11,V ugm-3,No data,null
04/01/1999,19,V ugm-3,No data,null
05/01/1999,4,V ugm-3,No data,null
06/01/1999,10,V ugm-3,No data,null
07/01/1999,31,V ugm-3,No data,null
08/01/1999,23,V ugm-3,No data,null
09/01/1999,29,V ugm-3,No data,null
10/01/1999,21,V ugm-3,No data,null
11/01/1999,27,V ugm-3,No data,null
12/01/1999,19,V ugm-3,No data,null
13/01/1999,23,V ugm-3,No data,null
14/01/1999,11,V ugm-3,No data,null
15/01/1999,10,V ugm-3,No data,null
16/01/1999,10,V ugm-3,No data,null
17/01/1999,25,V ugm-3,No data,null
18/01/1999,25,V ugm-3,No data,null
19/01/1999,17,V ugm-3,No data,null
20/01/1999,11,V ugm-3,No data,null
21/01/1999,44,V ugm-3,No data,null
22/01/1999,46,V ugm-3,No data,null
23/01/1999,29,V ugm-3,No data,null
24/01/1999,11,V ugm-3,No data,null
25/01/1999,13,V ugm-3,No data,null
26/01/1999,8,V ugm-3,No data,null
27/01/1999,10,V ugm-3,No data,null
28/01/1999,4,V ugm-3,No data,null
29/01/1999,21,V ugm-3,No data,null
30/01/1999,19,V ugm-3,No data,null
31/01/1999,13,V ugm-3,No data,null
01/02/1999,36,V ugm-3,No data,null
02/02/1999,42,V ugm-3,No data,null
03/02/1999,11,V ugm-3,No data,null
04/02/1999,8,V ugm-3,No data,null
05/02/1999,8,V ugm-3,No data,null
06/02/1999,13,V ugm-3,No data,null
07/02/1999,6,V ugm-3,No data,null
08/02/1999,17,V ugm-3,No data,null
09/02/1999,21,V ugm-3,No data,null
10/02/1999,25,V ugm-3,No data,null
11/02/1999,42,V ugm-3,No data,null
12/02/1999,46,V ugm-3,No data,null
13/02/1999,34,V ugm-3,No data,null
14/02/1999,25,V ugm-3,No data,null
15/02/1999,27,V ugm-3,No data,null
16/02/1999,6,V ugm-3,No data,null
17/02/1999,11,V ugm-3,No data,null
18/02/1999,8,V ugm-3,No data,null
19/02/1999,10,V ugm-3,No data,null
20/02/1999,11,V ugm-3,No data,null
21/02/1999,11,V ugm-3,No data,null
22/02/1999,8,V ugm-3,No data,null
23/02/1999,19,V ugm-3,No data,null
24/02/1999,13,V ugm-3,No data,null
25/02/1999,31,V ugm-3,No data,null
26/02/1999,11,V ugm-3,No data,null
27/02/1999,29,V ugm-3,No data,null
28/02/1999,13,V ugm-3,No data,null
01/03/1999,4,V ugm-3,No data,null
02/03/1999,10,V ugm-3,No data,null
03/03/1999,11,V ugm-3,No data,null
04/03/1999,13,V ugm-3,No data,null
05/03/1999,8,V ugm-3,No data,null
06/03/1999,13,V ugm-3,No data,null
07/03/1999,13,V ugm-3,No data,null
08/03/1999,13,V ugm-3,No data,null
09/03/1999,17,V ugm-3,No data,null
10/03/1999,19,V ugm-3,No data,null
11/03/1999,42,V ugm-3,No data,null
12/03/1999,52,V ugm-3,No data,null
13/03/1999,29,V ugm-3,No data,null
14/03/1999,25,V ugm-3,No data,null
15/03/1999,17,V ugm-3,No data,null
16/03/1999,42,V ugm-3,No data,null
17/03/1999,21,V ugm-3,No data,null
18/03/1999,11,V ugm-3,No data,null
19/03/1999,17,V ugm-3,No data,null
20/03/1999,25,V ugm-3,No data,null
21/03/1999,6,V ugm-3,No data,null
22/03/1999,6,V ugm-3,No data,null
23/03/1999,13,V ugm-3,No data,null
24/03/1999,11,V ugm-3,No data,null
25/03/1999,19,V ugm-3,No data,null
26/03/1999,15,V ugm-3,No data,null
27/03/1999,11,V ugm-3,No data,null
28/03/1999,10,V ugm-3,No data,null
29/03/1999,10,V ugm-3,No data,null
30/03/1999,11,V ugm-3,No data,null
31/03/1999,8,V ugm-3,No data,null
01/04/1999,21,V ugm-3,No data,null
02/04/1999,8,V ugm-3,No data,null
03/04/1999,6,V ugm-3,No data,null
04/04/1999,10,V ugm-3,No data,null
05/04/1999,10,V ugm-3,No data,null
06/04/1999,4,V ugm-3,No data,null
07/04/1999,10,V ugm-3,No data,null
08/04/1999,27,V ugm-3,No data,null
09/04/1999,13,V ugm-3,No data,null
10/04/1999,8,V ugm-3,No data,null
11/04/1999,6,V ugm-3,No data,null
12/04/1999,10,V ugm-3,No data,null
13/04/1999,4,V ugm-3,No data,null
14/04/1999,13,V ugm-3,No data,null
15/04/1999,15,V ugm-3,No data,null
16/04/1999,11,V ugm-3,No data,null
17/04/1999,19,V ugm-3,No data,null
18/04/1999,6,V ugm-3,No data,null
19/04/1999,No data,V ugm-3,No data,null
20/04/1999,No data,V ugm-3,No data,null
21/04/1999,No data,V ugm-3,No data,null
22/04/1999,10,V ugm-3,No data,null
23/04/1999,10,V ugm-3,No data,null
24/04/1999,10,V ugm-3,No data,null
25/04/1999,4,V ugm-3,No data,null
26/04/1999,13,V ugm-3,No data,null
27/04/1999,11,V ugm-3,No data,null
28/04/1999,11,V ugm-3,No data,null
29/04/1999,6,V ugm-3,No data,null
30/04/1999,10,V ugm-3,No data,null
01/05/1999,31,V ugm-3,No data,null
02/05/1999,8,V ugm-3,No data,null
03/05/1999,6,V ugm-3,No data,null
04/05/1999,10,V ugm-3,No data,null
05/05/1999,4,V ugm-3,No data,null
06/05/1999,11,V ugm-3,No data,null
07/05/1999,27,V ugm-3,No data,null
08/05/1999,8,V ugm-3,No data,null
09/05/1999,4,V ugm-3,No data,null
10/05/1999,6,V ugm-3,No data,null
11/05/1999,10,V ugm-3,No data,null
12/05/1999,8,V ugm-3,No data,null
13/05/1999,8,V ugm-3,No data,null
14/05/1999,4,V ugm-3,No data,null
15/05/1999,6,V ugm-3,No data,null
16/05/1999,6,V ugm-3,No data,null
17/05/1999,6,V ugm-3,No data,null
18/05/1999,6,V ugm-3,No data,null
19/05/1999,13,V ugm-3,No data,null
20/05/1999,13,V ugm-3,No data,null
21/05/1999,6,V ugm-3,No data,null
22/05/1999,15,V ugm-3,No data,null
23/05/1999,4,V ugm-3,No data,null
24/05/1999,4,V ugm-3,No data,null
25/05/1999,13,V ugm-3,No data,null
26/05/1999,17,V ugm-3,No data,null
27/05/1999,15,V ugm-3,No data,null
28/05/1999,10,V ugm-3,No data,null
29/05/1999,17,V ugm-3,No data,null
30/05/1999,4,V ugm-3,No data,null
31/05/1999,4,V ugm-3,No data,null
01/06/1999,13,V ugm-3,No data,null
02/06/1999,8,V ugm-3,No data,null
03/06/1999,6,V ugm-3,No data,null
04/06/1999,6,V ugm-3,No data,null
05/06/1999,10,V ugm-3,No data,null
06/06/1999,13,V ugm-3,No data,null
07/06/1999,6,V ugm-3,No data,null
08/06/1999,11,V ugm-3,No data,null
09/06/1999,17,V ugm-3,No data,null
10/06/1999,15,V ugm-3,No data,null
11/06/1999,17,V ugm-3,No data,null
12/06/1999,21,V ugm-3,No data,null
13/06/1999,11,V ugm-3,No data,null
14/06/1999,8,V ugm-3,No data,null
15/06/1999,21,V ugm-3,No data,null
16/06/1999,29,V ugm-3,No data,null
17/06/1999,21,V ugm-3,No data,null
18/06/1999,29,V ugm-3,No data,null
19/06/1999,15,V ugm-3,No data,null
20/06/1999,8,V ugm-3,No data,null
21/06/1999,4,V ugm-3,No data,null
22/06/1999,10,V ugm-3,No data,null
23/06/1999,8,V ugm-3,No data,null
24/06/1999,11,V ugm-3,No data,null
25/06/1999,10,V ugm-3,No data,null
26/06/1999,10,V ugm-3,No data,null
27/06/1999,8,V ugm-3,No data,null
28/06/1999,2,V ugm-3,No data,null
29/06/1999,13,V ugm-3,No data,null
30/06/1999,8,V ugm-3,No data,null
01/07/1999,10,V ugm-3,No data,null
02/07/1999,15,V ugm-3,No data,null
03/07/1999,13,V ugm-3,No data,null
04/07/1999,13,V ugm-3,No data,null
05/07/1999,8,V ugm-3,No data,null
06/07/1999,15,V ugm-3,No data,null
07/07/1999,8,V ugm-3,No data,null
08/07/1999,10,V ugm-3,No data,null
09/07/1999,10,V ugm-3,No data,null
10/07/1999,11,V ugm-3,No data,null
11/07/1999,6,V ugm-3,No data,null
12/07/1999,8,V ugm-3,No data,null
13/07/1999,17,V ugm-3,No data,null
14/07/1999,6,V ugm-3,No data,null
15/07/1999,23,V ugm-3,No data,null
16/07/1999,15,V ugm-3,No data,null
17/07/1999,10,V ugm-3,No data,null
18/07/1999,6,V ugm-3,No data,null
19/07/1999,10,V ugm-3,No data,null
20/07/1999,13,V ugm-3,No data,null
21/07/1999,8,V ugm-3,No data,null
22/07/1999,No data,V ugm-3,No data,null
23/07/1999,No data,V ugm-3,No data,null
24/07/1999,23,V ugm-3,No data,null
25/07/1999,6,V ugm-3,No data,null
26/07/1999,2,V ugm-3,No data,null
27/07/1999,6,V ugm-3,No data,null
28/07/1999,6,V ugm-3,No data,null
29/07/1999,6,V ugm-3,No data,null
30/07/1999,25,V ugm-3,No data,null
31/07/1999,4,V ugm-3,No data,null
01/08/1999,6,V ugm-3,No data,null
02/08/1999,4,V ugm-3,No data,null
03/08/1999,8,V ugm-3,No data,null
04/08/1999,8,V ugm-3,No data,null
05/08/1999,15,V ugm-3,No data,null
06/08/1999,11,V ugm-3,No data,null
07/08/1999,6,V ugm-3,No data,null
08/08/1999,6,V ugm-3,No data,null
09/08/1999,2,V ugm-3,No data,null
10/08/1999,6,V ugm-3,No data,null
11/08/1999,10,V ugm-3,No data,null
12/08/1999,8,V ugm-3,No data,null
13/08/1999,2,V ugm-3,No data,null
14/08/1999,4,V ugm-3,No data,null
15/08/1999,6,V ugm-3,No data,null
16/08/1999,8,V ugm-3,No data,null
17/08/1999,8,V ugm-3,No data,null
18/08/1999,No data,V ugm-3,No data,null
19/08/1999,No data,V ugm-3,No data,null
20/08/1999,No data,V ugm-3,No data,null
21/08/1999,No data,V ugm-3,No data,null
22/08/1999,No data,V ugm-3,No data,null
23/08/1999,No data,V ugm-3,No data,null
24/08/1999,17,V ugm-3,No data,null
25/08/1999,11,V ugm-3,No data,null
26/08/1999,8,V ugm-3,No data,null
27/08/1999,8,V ugm-3,No data,null
28/08/1999,10,V ugm-3,No data,null
29/08/1999,10,V ugm-3,No data,null
30/08/1999,6,V ugm-3,No data,null
31/08/1999,8,V ugm-3,No data,null
01/09/1999,8,V ugm-3,No data,null
02/09/1999,2,V ugm-3,No data,null
03/09/1999,No data,V ugm-3,No data,null
04/09/1999,No data,V ugm-3,No data,null
05/09/1999,No data,V ugm-3,No data,null
06/09/1999,No data,V ugm-3,No data,null
07/09/1999,No data,V ugm-3,No data,null
08/09/1999,8,V ugm-3,No data,null
09/09/1999,15,V ugm-3,No data,null
10/09/1999,23,V ugm-3,No data,null
11/09/1999,17,V ugm-3,No data,null
12/09/1999,8,V ugm-3,No data,null
13/09/1999,6,V ugm-3,No data,null
14/09/1999,23,V ugm-3,No data,null
15/09/1999,6,V ugm-3,No data,null
16/09/1999,4,V ugm-3,No data,null
17/09/1999,6,V ugm-3,No data,null
18/09/1999,6,V ugm-3,No data,null
19/09/1999,4,V ugm-3,No data,null
20/09/1999,8,V ugm-3,No data,null
21/09/1999,11,V ugm-3,No data,null
22/09/1999,6,V ugm-3,No data,null
23/09/1999,4,V ugm-3,No data,null
24/09/1999,10,V ugm-3,No data,null
25/09/1999,11,V ugm-3,No data,null
26/09/1999,6,V ugm-3,No data,null
27/09/1999,4,V ugm-3,No data,null
28/09/1999,No data,V ugm-3,No data,null
29/09/1999,No data,V ugm-3,No data,null
30/09/1999,No data,V ugm-3,No data,null
01/10/1999,8,V ugm-3,No data,null
02/10/1999,11,V ugm-3,No data,null
03/10/1999,8,V ugm-3,No data,null
04/10/1999,8,V ugm-3,No data,null
05/10/1999,2,V ugm-3,No data,null
06/10/1999,23,V ugm-3,No data,null
07/10/1999,6,V ugm-3,No data,null
08/10/1999,8,V ugm-3,No data,null
09/10/1999,11,V ugm-3,No data,null
10/10/1999,11,V ugm-3,No data,null
11/10/1999,4,V ugm-3,No data,null
12/10/1999,11,V ugm-3,No data,null
13/10/1999,11,V ugm-3,No data,null
14/10/1999,27,V ugm-3,No data,null
15/10/1999,23,V ugm-3,No data,null
16/10/1999,29,V ugm-3,No data,null
17/10/1999,11,V ugm-3,No data,null
18/10/1999,8,V ugm-3,No data,null
19/10/1999,4,V ugm-3,No data,null
20/10/1999,6,V ugm-3,No data,null
21/10/1999,6,V ugm-3,No data,null
22/10/1999,6,V ugm-3,No data,null
23/10/1999,8,V ugm-3,No data,null
24/10/1999,4,V ugm-3,No data,null
25/10/1999,13,V ugm-3,No data,null
26/10/1999,11,V ugm-3,No data,null
27/10/1999,4,V ugm-3,No data,null
28/10/1999,0,V ugm-3,No data,null
29/10/1999,23,V ugm-3,No data,null
30/10/1999,2,V ugm-3,No data,null
31/10/1999,4,V ugm-3,No data,null
01/11/1999,6,V ugm-3,No data,null
02/11/1999,6,V ugm-3,No data,null
03/11/1999,6,V ugm-3,No data,null
04/11/1999,8,V ugm-3,No data,null
05/11/1999,6,V ugm-3,No data,null
06/11/1999,13,V ugm-3,No data,null
07/11/1999,42,V ugm-3,No data,null
08/11/1999,21,V ugm-3,No data,null
09/11/1999,21,V ugm-3,No data,null
10/11/1999,17,V ugm-3,No data,null
11/11/1999,4,V ugm-3,No data,null
12/11/1999,6,V ugm-3,No data,null
13/11/1999,17,V ugm-3,No data,null
14/11/1999,4,V ugm-3,No data,null
15/11/1999,11,V ugm-3,No data,null
16/11/1999,6,V ugm-3,No data,null
17/11/1999,8,V ugm-3,No data,null
18/11/1999,15,V ugm-3,No data,null
19/11/1999,4,V ugm-3,No data,null
20/11/1999,13,V ugm-3,No data,null
21/11/1999,13,V ugm-3,No data,null
22/11/1999,25,V ugm-3,No data,null
23/11/1999,21,V ugm-3,No data,null
24/11/1999,6,V ugm-3,No data,null
25/11/1999,6,V ugm-3,No data,null
26/11/1999,6,V ugm-3,No data,null
27/11/1999,13,V ugm-3,No data,null
28/11/1999,6,V ugm-3,No data,null
29/11/1999,11,V ugm-3,No data,null
30/11/1999,11,V ugm-3,No data,null
01/12/1999,4,V ugm-3,No data,null
02/12/1999,6,V ugm-3,No data,null
03/12/1999,8,V ugm-3,No data,null
04/12/1999,15,V ugm-3,No data,null
05/12/1999,13,V ugm-3,No data,null
06/12/1999,6,V ugm-3,No data,null
07/12/1999,6,V ugm-3,No data,null
08/12/1999,8,V ugm-3,No data,null
09/12/1999,6,V ugm-3,No data,null
10/12/1999,11,V ugm-3,No data,null
11/12/1999,6,V ugm-3,No data,null
12/12/1999,2,V ugm-3,No data,null
13/12/1999,11,V ugm-3,No data,null
14/12/1999,15,V ugm-3,No data,null
15/12/1999,4,V ugm-3,No data,null
16/12/1999,13,V ugm-3,No data,null
17/12/1999,6,V ugm-3,No data,null
18/12/1999,10,V ugm-3,No data,null
19/12/1999,21,V ugm-3,No data,null
20/12/1999,25,V ugm-3,No data,null
21/12/1999,8,V ugm-3,No data,null
22/12/1999,10,V ugm-3,No data,null
23/12/1999,10,V ugm-3,No data,null
24/12/1999,6,V ugm-3,No data,null
25/12/1999,10,V ugm-3,No data,null
26/12/1999,8,V ugm-3,No data,null
27/12/1999,11,V ugm-3,No data,null
28/12/1999,10,V ugm-3,No data,null
29/12/1999,27,V ugm-3,No data,null
30/12/1999,19,V ugm-3,No data,null
31/12/1999,6,V ugm-3,No data,null
01/01/2000,10,V ugm-3,No data,null
02/01/2000,4,V ugm-3,No data,null
03/01/2000,4,V ugm-3,No data,null
04/01/2000,15,V ugm-3,No data,null
05/01/2000,8,V ugm-3,No data,null
06/01/2000,6,V ugm-3,No data,null
07/01/2000,4,V ugm-3,No data,null
08/01/2000,4,V ugm-3,No data,null
09/01/2000,21,V ugm-3,No data,null
10/01/2000,11,V ugm-3,No data,null
11/01/2000,4,V ugm-3,No data,null
12/01/2000,4,V ugm-3,No data,null
13/01/2000,2,V ugm-3,No data,null
14/01/2000,10,V ugm-3,No data,null
15/01/2000,11,V ugm-3,No data,null
16/01/2000,34,V ugm-3,No data,null
17/01/2000,4,V ugm-3,No data,null
18/01/2000,27,V ugm-3,No data,null
19/01/2000,21,V ugm-3,No data,null
20/01/2000,11,V ugm-3,No data,null
21/01/2000,27,V ugm-3,No data,null
22/01/2000,8,V ugm-3,No data,null
23/01/2000,6,V ugm-3,No data,null
24/01/2000,8,V ugm-3,No data,null
25/01/2000,23,V ugm-3,No data,null
26/01/2000,32,V ugm-3,No data,null
27/01/2000,29,V ugm-3,No data,null
28/01/2000,6,V ugm-3,No data,null
29/01/2000,6,V ugm-3,No data,null
30/01/2000,2,V ugm-3,No data,null
31/01/2000,2,V ugm-3,No data,null
01/02/2000,2,V ugm-3,No data,null
02/02/2000,6,V ugm-3,No data,null
03/02/2000,13,V ugm-3,No data,null
04/02/2000,6,V ugm-3,No data,null
05/02/2000,10,V ugm-3,No data,null
06/02/2000,4,V ugm-3,No data,null
07/02/2000,8,V ugm-3,No data,null
08/02/2000,4,V ugm-3,No data,null
09/02/2000,10,V ugm-3,No data,null
10/02/2000,6,V ugm-3,No data,null
11/02/2000,15,V ugm-3,No data,null
12/02/2000,4,V ugm-3,No data,null
13/02/2000,6,V ugm-3,No data,null
14/02/2000,21,V ugm-3,No data,null
15/02/2000,10,V ugm-3,No data,null
16/02/2000,6,V ugm-3,No data,null
17/02/2000,2,V ugm-3,No data,null
18/02/2000,8,V ugm-3,No data,null
19/02/2000,11,V ugm-3,No data,null
20/02/2000,11,V ugm-3,No data,null
21/02/2000,4,V ugm-3,No data,null
22/02/2000,17,V ugm-3,No data,null
23/02/2000,10,V ugm-3,No data,null
24/02/2000,6,V ugm-3,No data,null
25/02/2000,11,V ugm-3,No data,null
26/02/2000,10,V ugm-3,No data,null
27/02/2000,2,V ugm-3,No data,null
28/02/2000,10,V ugm-3,No data,null
29/02/2000,2,V ugm-3,No data,null
01/03/2000,11,V ugm-3,No data,null
02/03/2000,10,V ugm-3,No data,null
03/03/2000,2,V ugm-3,No data,null
04/03/2000,11,V ugm-3,No data,null
05/03/2000,17,V ugm-3,No data,null
06/03/2000,6,V ugm-3,No data,null
07/03/2000,2,V ugm-3,No data,null
08/03/2000,8,V ugm-3,No data,null
09/03/2000,8,V ugm-3,No data,null
10/03/2000,6,V ugm-3,No data,null
11/03/2000,8,V ugm-3,No data,null
12/03/2000,19,V ugm-3,No data,null
13/03/2000,11,V ugm-3,No data,null
14/03/2000,No data,V ugm-3,No data,null
15/03/2000,No data,V ugm-3,No data,null
16/03/2000,No data,V ugm-3,No data,null
17/03/2000,No data,V ugm-3,No data,null
18/03/2000,8,V ugm-3,No data,null
19/03/2000,17,V ugm-3,No data,null
20/03/2000,17,V ugm-3,No data,null
21/03/2000,13,V ugm-3,No data,null
22/03/2000,32,V ugm-3,No data,null
23/03/2000,25,V ugm-3,No data,null
24/03/2000,2,V ugm-3,No data,null
25/03/2000,13,V ugm-3,No data,null
26/03/2000,10,V ugm-3,No data,null
27/03/2000,10,V ugm-3,No data,null
28/03/2000,2,V ugm-3,No data,null
29/03/2000,0,V ugm-3,No data,null
30/03/2000,6,V ugm-3,No data,null
31/03/2000,10,V ugm-3,No data,null
01/04/2000,6,V ugm-3,No data,null
02/04/2000,4,V ugm-3,No data,null
03/04/2000,2,V ugm-3,No data,null
04/04/2000,No data,V ugm-3,No data,null
05/04/2000,No data,V ugm-3,No data,null
06/04/2000,8,V ugm-3,No data,null
07/04/2000,13,V ugm-3,No data,null
08/04/2000,2,V ugm-3,No data,null
09/04/2000,6,V ugm-3,No data,null
10/04/2000,4,V ugm-3,No data,null
11/04/2000,6,V ugm-3,No data,null
12/04/2000,2,V ugm-3,No data,null
13/04/2000,8,V ugm-3,No data,null
14/04/2000,10,V ugm-3,No data,null
15/04/2000,4,V ugm-3,No data,null
16/04/2000,6,V ugm-3,No data,null
17/04/2000,2,V ugm-3,No data,null
18/04/2000,10,V ugm-3,No data,null
19/04/2000,6,V ugm-3,No data,null
20/04/2000,4,V ugm-3,No data,null
21/04/2000,2,V ugm-3,No data,null
22/04/2000,4,V ugm-3,No data,null
23/04/2000,2,V ugm-3,No data,null
24/04/2000,4,V ugm-3,No data,null
25/04/2000,4,V ugm-3,No data,null
26/04/2000,6,V ugm-3,No data,null
27/04/2000,6,V ugm-3,No data,null
28/04/2000,31,V ugm-3,No data,null
29/04/2000,4,V ugm-3,No data,null
30/04/2000,6,V ugm-3,No data,null
01/05/2000,6,V ugm-3,No data,null
02/05/2000,10,V ugm-3,No data,null
03/05/2000,13,V ugm-3,No data,null
04/05/2000,4,V ugm-3,No data,null
05/05/2000,4,V ugm-3,No data,null
06/05/2000,15,V ugm-3,No data,null
07/05/2000,6,V ugm-3,No data,null
08/05/2000,8,V ugm-3,No data,null
09/05/2000,15,V ugm-3,No data,null
10/05/2000,10,V ugm-3,No data,null
11/05/2000,4,V ugm-3,No data,null
12/05/2000,2,V ugm-3,No data,null
13/05/2000,6,V ugm-3,No data,null
14/05/2000,0,V ugm-3,No data,null
15/05/2000,4,V ugm-3,No data,null
16/05/2000,4,V ugm-3,No data,null
17/05/2000,2,V ugm-3,No data,null
18/05/2000,10,V ugm-3,No data,null
19/05/2000,6,V ugm-3,No data,null
20/05/2000,11,V ugm-3,No data,null
21/05/2000,6,V ugm-3,No data,null
22/05/2000,6,V ugm-3,No data,null
23/05/2000,4,V ugm-3,No data,null
24/05/2000,23,V ugm-3,No data,null
25/05/2000,8,V ugm-3,No data,null
26/05/2000,6,V ugm-3,No data,null
27/05/2000,11,V ugm-3,No data,null
28/05/2000,4,V ugm-3,No data,null
29/05/2000,4,V ugm-3,No data,null
30/05/2000,4,V ugm-3,No data,null
31/05/2000,4,V ugm-3,No data,null
01/06/2000,2,V ugm-3,No data,null
02/06/2000,6,V ugm-3,No data,null
03/06/2000,10,V ugm-3,No data,null
04/06/2000,8,V ugm-3,No data,null
05/06/2000,11,V ugm-3,No data,null
06/06/2000,10,V ugm-3,No data,null
07/06/2000,4,V ugm-3,No data,null
08/06/2000,4,V ugm-3,No data,null
09/06/2000,15,V ugm-3,No data,null
10/06/2000,8,V ugm-3,No data,null
11/06/2000,4,V ugm-3,No data,null
12/06/2000,4,V ugm-3,No data,null
13/06/2000,4,V ugm-3,No data,null
14/06/2000,8,V ugm-3,No data,null
15/06/2000,2,V ugm-3,No data,null
16/06/2000,10,V ugm-3,No data,null
17/06/2000,8,V ugm-3,No data,null
18/06/2000,11,V ugm-3,No data,null
19/06/2000,11,V ugm-3,No data,null
20/06/2000,4,V ugm-3,No data,null
21/06/2000,2,V ugm-3,No data,null
22/06/2000,2,V ugm-3,No data,null
23/06/2000,11,V ugm-3,No data,null
24/06/2000,6,V ugm-3,No data,null
25/06/2000,2,V ugm-3,No data,null
26/06/2000,13,V ugm-3,No data,null
27/06/2000,6,V ugm-3,No data,null
28/06/2000,17,V ugm-3,No data,null
29/06/2000,11,V ugm-3,No data,null
30/06/2000,6,V ugm-3,No data,null
