"Daily Minimum data	   supplied by UK-air on 12/04/2020",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Cardiff Centre,,Cardiff Newport Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
24/08/1994,13,V ugm-3,No data,null
25/08/1994,11,V ugm-3,No data,null
26/08/1994,19,V ugm-3,No data,null
27/08/1994,11,V ugm-3,No data,null
28/08/1994,10,V ugm-3,No data,null
29/08/1994,10,V ugm-3,No data,null
30/08/1994,13,V ugm-3,No data,null
31/08/1994,15,V ugm-3,No data,null
01/09/1994,19,V ugm-3,No data,null
02/09/1994,15,V ugm-3,No data,null
03/09/1994,15,V ugm-3,No data,null
04/09/1994,13,V ugm-3,No data,null
05/09/1994,10,V ugm-3,No data,null
06/09/1994,17,V ugm-3,No data,null
07/09/1994,11,V ugm-3,No data,null
08/09/1994,10,V ugm-3,No data,null
09/09/1994,15,V ugm-3,No data,null
10/09/1994,13,V ugm-3,No data,null
11/09/1994,6,V ugm-3,No data,null
12/09/1994,17,V ugm-3,No data,null
13/09/1994,10,V ugm-3,No data,null
14/09/1994,10,V ugm-3,No data,null
15/09/1994,6,V ugm-3,No data,null
16/09/1994,8,V ugm-3,No data,null
17/09/1994,15,V ugm-3,No data,null
18/09/1994,21,V ugm-3,No data,null
19/09/1994,8,V ugm-3,No data,null
20/09/1994,11,V ugm-3,No data,null
21/09/1994,19,V ugm-3,No data,null
22/09/1994,11,V ugm-3,No data,null
23/09/1994,11,V ugm-3,No data,null
24/09/1994,19,V ugm-3,No data,null
25/09/1994,10,V ugm-3,No data,null
26/09/1994,10,V ugm-3,No data,null
27/09/1994,21,V ugm-3,No data,null
28/09/1994,34,V ugm-3,No data,null
29/09/1994,21,V ugm-3,No data,null
30/09/1994,17,V ugm-3,No data,null
01/10/1994,40,V ugm-3,No data,null
02/10/1994,11,V ugm-3,No data,null
03/10/1994,11,V ugm-3,No data,null
04/10/1994,23,V ugm-3,No data,null
05/10/1994,40,V ugm-3,No data,null
06/10/1994,36,V ugm-3,No data,null
07/10/1994,44,V ugm-3,No data,null
08/10/1994,48,V ugm-3,No data,null
09/10/1994,25,V ugm-3,No data,null
10/10/1994,52,V ugm-3,No data,null
11/10/1994,65,V ugm-3,No data,null
12/10/1994,67,V ugm-3,No data,null
13/10/1994,46,V ugm-3,No data,null
