Hourly measurement data supplied by UK-air on 12/04/2020
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Cardiff Centre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardiff Newport Road",,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2019-04-01,01:00:00,66.58986,V ugm-3,0.18047,V ugm-3,5.81632,V ugm-3,6.09304,V ugm-3,0.73637,V ugm-3,0.087,V mgm-3,13.8,V ugm-3 (TEOM FDMS),11.5,V ugm-3 (TEOM FDMS),2.3,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),77.2,N deg,5.8,N ms-1,4.8,N degC,1.86267,V ugm-3,12.33341,V ugm-3,15.18945,V ugm-3,No data,V ugm-3 (Ref.eq),78.5,N deg,7.6,N ms-1,6.9,N degC
2019-04-01,02:00:00,63.52978,V ugm-3,0.49629,V ugm-3,14.02662,V ugm-3,14.78759,V ugm-3,0.63117,V ugm-3,0.068215,V mgm-3,14.1,V ugm-3 (TEOM FDMS),11.2,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),4.1,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),74.6,N deg,5.6,N ms-1,4.3,N degC,1.2129,V ugm-3,12.04131,V ugm-3,13.90106,V ugm-3,No data,V ugm-3 (Ref.eq),74.8,N deg,7.3,N ms-1,6.4,N degC
2019-04-01,03:00:00,62.5652,V ugm-3,0.2707,V ugm-3,14.47521,V ugm-3,14.89028,V ugm-3,0.63117,V ugm-3,0.074147,V mgm-3,12.5,V ugm-3 (TEOM FDMS),9.7,V ugm-3 (TEOM FDMS),2.8,V ugm-3 (TEOM FDMS),3.5,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),70,N deg,5.4,N ms-1,3.7,N degC,1.68939,V ugm-3,10.48002,V ugm-3,13.07039,V ugm-3,No data,V ugm-3 (Ref.eq),69.9,N deg,7.1,N ms-1,5.8,N degC
2019-04-01,04:00:00,62.66498,V ugm-3,0.33838,V ugm-3,10.93127,V ugm-3,11.45011,V ugm-3,0.63117,V ugm-3,0.065249,V mgm-3,11.6,V ugm-3 (TEOM FDMS),9.6,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),4.8,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),65.8,N deg,5,N ms-1,3.2,N degC,2.20921,V ugm-3,14.46359,V ugm-3,17.851,V ugm-3,No data,V ugm-3 (Ref.eq),65.5,N deg,6.7,N ms-1,5.3,N degC
2019-04-01,05:00:00,55.53035,V ugm-3,0.81211,V ugm-3,14.98005,V ugm-3,16.22527,V ugm-3,0.71007,V ugm-3,0.077113,V mgm-3,14.8,V ugm-3 (TEOM FDMS),11.6,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),60.9,N deg,5.1,N ms-1,2.7,N degC,5.36058,V ugm-3,23.61738,V ugm-3,31.83682,V ugm-3,No data,V ugm-3 (Ref.eq),59.7,N deg,6.5,N ms-1,4.9,N degC
2019-04-01,06:00:00,48.14626,V ugm-3,2.40249,V ugm-3,20.96221,V ugm-3,24.64598,V ugm-3,0.78897,V ugm-3,0.088976,V mgm-3,16.1,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),1.7,V ugm-3 (TEOM FDMS),61.5,N deg,5,N ms-1,2.5,N degC,13.90501,V ugm-3,39.1489,V ugm-3,60.46962,V ugm-3,No data,V ugm-3 (Ref.eq),59.4,N deg,6.3,N ms-1,4.7,N degC
2019-04-01,07:00:00,43.00734,V ugm-3,3.14693,V ugm-3,27.41994,V ugm-3,32.24516,V ugm-3,1.10455,V ugm-3,0.10084,V mgm-3,22.1,V ugm-3 (TEOM FDMS),19.9,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),4.2,V ugm-3 (TEOM FDMS),0.8,V ugm-3 (TEOM FDMS),65.1,N deg,5.2,N ms-1,2.6,N degC,27.06279,V ugm-3,49.23415,V ugm-3,90.72986,V ugm-3,No data,V ugm-3 (Ref.eq),62.5,N deg,6.4,N ms-1,4.6,N degC
2019-04-01,08:00:00,39.41508,V ugm-3,5.3464,V ugm-3,30.77377,V ugm-3,38.97146,V ugm-3,1.18345,V ugm-3,0.127532,V mgm-3,22.9,V ugm-3 (TEOM FDMS),20.4,V ugm-3 (TEOM FDMS),2.5,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),67.4,N deg,5.1,N ms-1,3.4,N degC,41.03278,V ugm-3,56.14145,V ugm-3,119.05751,V ugm-3,No data,V ugm-3 (Ref.eq),64.8,N deg,5.8,N ms-1,4.6,N degC
2019-04-01,09:00:00,45.60175,V ugm-3,5.58326,V ugm-3,25.89215,V ugm-3,34.45303,V ugm-3,1.18345,V ugm-3,0.115669,V mgm-3,28.7,V ugm-3 (TEOM FDMS),24.4,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),6.2,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),73.2,N deg,5.2,N ms-1,4.2,N degC,36.58188,V ugm-3,49.84483,V ugm-3,105.93626,V ugm-3,32.851,V ugm-3 (Ref.eq),68.7,N deg,5.5,N ms-1,4.7,N degC
2019-04-01,10:00:00,54.98154,V ugm-3,3.99288,V ugm-3,18.0102,V ugm-3,24.13253,V ugm-3,1.18345,V ugm-3,0.106771,V mgm-3,30.2,V ugm-3 (TEOM FDMS),27.5,V ugm-3 (TEOM FDMS),2.7,V ugm-3 (TEOM FDMS),9.8,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),78.4,N deg,5,N ms-1,5,N degC,33.75539,V ugm-3,51.63584,V ugm-3,103.39338,V ugm-3,32.851,V ugm-3 (Ref.eq),70.5,N deg,5.2,N ms-1,4.9,N degC
2019-04-01,11:00:00,57.8753,V ugm-3,3.28228,V ugm-3,14.4273,V ugm-3,19.46006,V ugm-3,1.26234,V ugm-3,0.112703,V mgm-3,34.6,V ugm-3 (TEOM FDMS),28.8,V ugm-3 (TEOM FDMS),5.8,V ugm-3 (TEOM FDMS),15.2,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),3.8,V ugm-3 (TEOM FDMS),79.4,N deg,4.8,N ms-1,5.6,N degC,46.16594,V ugm-3,48.01643,V ugm-3,118.80322,V ugm-3,39.614,V ugm-3 (Ref.eq),73.4,N deg,5,N ms-1,5.2,N degC
2019-04-01,12:00:00,62.91444,V ugm-3,2.84239,V ugm-3,12.63719,V ugm-3,16.99546,V ugm-3,1.49903,V ugm-3,0.115669,V mgm-3,49.7,V ugm-3 (TEOM FDMS),44.6,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),13.5,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),85.3,N deg,4.4,N ms-1,6.2,N degC,37.03672,V ugm-3,50.06286,V ugm-3,106.8517,V ugm-3,40.58,V ugm-3 (Ref.eq),78.4,N deg,4.6,N ms-1,5.5,N degC
2019-04-01,13:00:00,61.11831,V ugm-3,3.6545,V ugm-3,14.47272,V ugm-3,20.07621,V ugm-3,1.81462,V ugm-3,0.130499,V mgm-3,59.1,V ugm-3 (TEOM FDMS),53.7,V ugm-3 (TEOM FDMS),5.4,V ugm-3 (TEOM FDMS),16.9,V ugm-3 (TEOM FDMS),11.2,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),88.9,N deg,4,N ms-1,6.3,N degC,30.05172,V ugm-3,44.0409,V ugm-3,90.11957,V ugm-3,41.547,V ugm-3 (Ref.eq),80.4,N deg,4,N ms-1,5.7,N degC
2019-04-01,14:00:00,61.16821,V ugm-3,3.34996,V ugm-3,15.35044,V ugm-3,20.48697,V ugm-3,1.34124,V ugm-3,0.157191,V mgm-3,31.8,V ugm-3 (TEOM FDMS),24.9,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),91.1,N deg,3.3,N ms-1,6.4,N degC,45.09383,V ugm-3,53.2712,V ugm-3,122.41411,V ugm-3,41.547,V ugm-3 (Ref.eq),84.2,N deg,2.8,N ms-1,6.4,N degC
2019-04-01,15:00:00,62.46541,V ugm-3,3.18077,V ugm-3,15.1991,V ugm-3,20.07621,V ugm-3,0.78897,V ugm-3,0.124567,V mgm-3,30.4,V ugm-3 (TEOM FDMS),22.5,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),15.9,V ugm-3 (TEOM FDMS),9.5,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),89.7,N deg,2.4,N ms-1,7.2,N degC,34.5676,V ugm-3,51.96705,V ugm-3,104.96997,V ugm-3,39.614,V ugm-3 (Ref.eq),75.2,N deg,2,N ms-1,7.1,N degC
2019-04-01,16:00:00,63.96219,V ugm-3,2.74087,V ugm-3,15.2061,V ugm-3,19.40871,V ugm-3,1.65682,V ugm-3,0.121601,V mgm-3,34.8,V ugm-3 (TEOM FDMS),27.7,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),14.8,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),78.6,N deg,1.7,N ms-1,7.7,N degC,43.40443,V ugm-3,58.15016,V ugm-3,124.70269,V ugm-3,44.445,V ugm-3 (Ref.eq),49.6,N deg,1.6,N ms-1,7.5,N degC
2019-04-01,17:00:00,56.5781,V ugm-3,2.36866,V ugm-3,21.27082,V ugm-3,24.90271,V ugm-3,1.81462,V ugm-3,0.148293,V mgm-3,30.9,V ugm-3 (TEOM FDMS),25.2,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),14.3,V ugm-3 (TEOM FDMS),9.3,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),56,N deg,1.3,N ms-1,7.7,N degC,42.23485,V ugm-3,66.91098,V ugm-3,131.67018,V ugm-3,45.411,V ugm-3 (Ref.eq),25.8,N deg,1.8,N ms-1,8,N degC
2019-04-01,18:00:00,54.48261,V ugm-3,1.79341,V ugm-3,23.17977,V ugm-3,25.92963,V ugm-3,1.81462,V ugm-3,0.13643,V mgm-3,27,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),10.1,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),34.9,N deg,0.6,N ms-1,6.9,N degC,10.62369,V ugm-3,38.84015,V ugm-3,55.12958,V ugm-3,38.648,V ugm-3 (Ref.eq),15.6,N deg,1.9,N ms-1,8.4,N degC
2019-04-01,19:00:00,41.2611,V ugm-3,1.92876,V ugm-3,31.54698,V ugm-3,34.50438,V ugm-3,1.42014,V ugm-3,0.180918,V mgm-3,33.5,V ugm-3 (TEOM FDMS),27.4,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),16.1,V ugm-3 (TEOM FDMS),12.1,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),340.9,N deg,0.9,N ms-1,5.9,N degC,2.85898,V ugm-3,37.01434,V ugm-3,41.39804,V ugm-3,35.749,V ugm-3 (Ref.eq),354.9,N deg,2,N ms-1,8.4,N degC
2019-04-01,20:00:00,15.11743,V ugm-3,10.45593,V ugm-3,56.51942,V ugm-3,72.55162,V ugm-3,2.05131,V ugm-3,0.255065,V mgm-3,36.5,V ugm-3 (TEOM FDMS),31.3,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),16.4,V ugm-3 (TEOM FDMS),11.9,V ugm-3 (TEOM FDMS),4.5,V ugm-3 (TEOM FDMS),347.1,N deg,1.1,N ms-1,5.1,N degC,43.98922,V ugm-3,76.07079,V ugm-3,143.51998,V ugm-3,43.479,V ugm-3 (Ref.eq),334.8,N deg,1.6,N ms-1,8.1,N degC
2019-04-01,21:00:00,1.49678,V ugm-3,53.93769,V ugm-3,72.66908,V ugm-3,155.37239,V ugm-3,4.02372,V ugm-3,0.462676,V mgm-3,40.9,V ugm-3 (TEOM FDMS),35.6,V ugm-3 (TEOM FDMS),5.3,V ugm-3 (TEOM FDMS),21.4,V ugm-3 (TEOM FDMS),15.4,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),342,N deg,1.5,N ms-1,4.6,N degC,103.50787,V ugm-3,99.79903,V ugm-3,258.50889,V ugm-3,55.073,V ugm-3 (Ref.eq),313.2,N deg,1.4,N ms-1,7.8,N degC
2019-04-01,22:00:00,24.69679,V ugm-3,11.60642,V ugm-3,40.37853,V ugm-3,58.17479,V ugm-3,2.2091,V ugm-3,0.180918,V mgm-3,36.1,V ugm-3 (TEOM FDMS),29.7,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),21.7,V ugm-3 (TEOM FDMS),16.7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),311,N deg,2.1,N ms-1,4.1,N degC,15.95178,V ugm-3,55.69243,V ugm-3,80.15149,V ugm-3,37.682,V ugm-3 (Ref.eq),280.4,N deg,1.7,N ms-1,7.6,N degC
2019-04-01,23:00:00,53.63444,V ugm-3,1.08282,V ugm-3,12.81922,V ugm-3,14.47952,V ugm-3,1.73572,V ugm-3,0.13643,V mgm-3,32,V ugm-3 (TEOM FDMS),24.8,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),18.2,V ugm-3 (TEOM FDMS),11.9,V ugm-3 (TEOM FDMS),6.3,V ugm-3 (TEOM FDMS),307.2,N deg,2.7,N ms-1,3.6,N degC,0.87719,V ugm-3,18.23516,V ugm-3,19.58015,V ugm-3,35.749,V ugm-3 (Ref.eq),280.6,N deg,2.9,N ms-1,7.2,N degC
2019-04-01,24:00:00,52.98584,V ugm-3,0.77827,V ugm-3,13.79964,V ugm-3,14.99297,V ugm-3,2.68248,V ugm-3,0.314383,V mgm-3,40.3,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),25.6,V ugm-3 (TEOM FDMS),18.2,V ugm-3 (TEOM FDMS),7.4,V ugm-3 (TEOM FDMS),287,N deg,2.5,N ms-1,4.2,N degC,0.61728,V ugm-3,18.27767,V ugm-3,19.22415,V ugm-3,39.614,V ugm-3 (Ref.eq),268,N deg,3.1,N ms-1,7.4,N degC
2019-04-02,01:00:00,53.15214,V ugm-3,0.67812,V ugm-3,12.53944,V ugm-3,13.57921,V ugm-3,2.10556,V ugm-3,0.30035,V mgm-3,44.3,V ugm-3 (TEOM FDMS),34.8,V ugm-3 (TEOM FDMS),9.5,V ugm-3 (TEOM FDMS),29.4,V ugm-3 (TEOM FDMS),20.9,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),272.7,N deg,3,N ms-1,5.6,N degC,0.56408,V ugm-3,17.33562,V ugm-3,18.20053,V ugm-3,39.614,V ugm-3 (Ref.eq),267.5,N deg,3.9,N ms-1,7.6,N degC
2019-04-02,02:00:00,43.30669,V ugm-3,1.03979,V ugm-3,24.19247,V ugm-3,25.78678,V ugm-3,2.52667,V ugm-3,0.272686,V mgm-3,48.1,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),10.1,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),22.7,V ugm-3 (TEOM FDMS),9.3,V ugm-3 (TEOM FDMS),270.3,N deg,2.6,N ms-1,5.9,N degC,0.30374,V ugm-3,22.42077,V ugm-3,22.88649,V ugm-3,44.445,V ugm-3 (Ref.eq),269.1,N deg,3.7,N ms-1,7.6,N degC
2019-04-02,03:00:00,55.8796,V ugm-3,0.64421,V ugm-3,19.17528,V ugm-3,20.16307,V ugm-3,1.81604,V ugm-3,0.124487,V mgm-3,38.6,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),10.6,V ugm-3 (TEOM FDMS),24.6,V ugm-3 (TEOM FDMS),15.6,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),280.5,N deg,2.5,N ms-1,6.4,N degC,0.2278,V ugm-3,16.91744,V ugm-3,17.26674,V ugm-3,35.749,V ugm-3 (Ref.eq),268.2,N deg,3.4,N ms-1,7.6,N degC
2019-04-02,04:00:00,63.11401,V ugm-3,0.84765,V ugm-3,12.79386,V ugm-3,14.09357,V ugm-3,1.26333,V ugm-3,0.091883,V mgm-3,29,V ugm-3 (TEOM FDMS),18.2,V ugm-3 (TEOM FDMS),10.8,V ugm-3 (TEOM FDMS),19.2,V ugm-3 (TEOM FDMS),10.7,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),301.9,N deg,4.7,N ms-1,6.9,N degC,0.94375,V ugm-3,10.06409,V ugm-3,11.51116,V ugm-3,30.918,V ugm-3 (Ref.eq),304.2,N deg,5.8,N ms-1,8,N degC
2019-04-02,05:00:00,71.04692,V ugm-3,0.37297,V ugm-3,8.22375,V ugm-3,8.79562,V ugm-3,1.10542,V ugm-3,0.068172,V mgm-3,7.4,V ugm-3 (TEOM FDMS),-0.6,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),-0.2,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),296.4,N deg,3.6,N ms-1,6.8,N degC,2.21294,V ugm-3,12.80399,V ugm-3,16.19712,V ugm-3,7.73,V ugm-3 (Ref.eq),291.5,N deg,4.4,N ms-1,7.9,N degC
2019-04-02,06:00:00,62.81466,V ugm-3,0.77984,V ugm-3,11.7148,V ugm-3,12.91054,V ugm-3,0.9475,V ugm-3,0.065208,V mgm-3,0,V ugm-3 (TEOM FDMS),-2.9,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),-2.2,V ugm-3 (TEOM FDMS),3.8,V ugm-3 (TEOM FDMS),311.6,N deg,3.9,N ms-1,6.1,N degC,7.97309,V ugm-3,31.98576,V ugm-3,44.21099,V ugm-3,5.797,V ugm-3 (Ref.eq),314.3,N deg,5.2,N ms-1,7.7,N degC
2019-04-02,07:00:00,31.13292,V ugm-3,6.03528,V ugm-3,38.47902,V ugm-3,47.73298,V ugm-3,1.42125,V ugm-3,0.151163,V mgm-3,4.4,V ugm-3 (TEOM FDMS),1.2,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),0.7,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),303.9,N deg,4.1,N ms-1,5.8,N degC,15.78347,V ugm-3,42.52298,V ugm-3,66.72396,V ugm-3,7.73,V ugm-3 (Ref.eq),317.3,N deg,6.1,N ms-1,7.4,N degC
2019-04-02,08:00:00,38.46712,V ugm-3,3.9331,V ugm-3,33.2153,V ugm-3,39.24597,V ugm-3,1.10542,V ugm-3,0.127451,V mgm-3,3.7,V ugm-3 (TEOM FDMS),2.5,V ugm-3 (TEOM FDMS),1.2,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),1.3,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),300.6,N deg,4.5,N ms-1,5.7,N degC,12.62678,V ugm-3,42.47349,V ugm-3,61.83427,V ugm-3,6.763,V ugm-3 (Ref.eq),313.6,N deg,5.5,N ms-1,7.1,N degC
2019-04-02,09:00:00,55.72992,V ugm-3,2.8142,V ugm-3,19.13995,V ugm-3,23.455,V ugm-3,1.18438,V ugm-3,0.071135,V mgm-3,5.7,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),3.6,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),-1.1,V ugm-3 (TEOM FDMS),3.1,V ugm-3 (TEOM FDMS),311.5,N deg,6.1,N ms-1,6.5,N degC,30.03741,V ugm-3,47.66244,V ugm-3,93.71916,V ugm-3,15.459,V ugm-3 (Ref.eq),313.8,N deg,6.1,N ms-1,7.3,N degC
2019-04-02,10:00:00,65.2095,V ugm-3,2.03436,V ugm-3,12.20873,V ugm-3,15.32805,V ugm-3,1.26333,V ugm-3,0.062244,V mgm-3,5.2,V ugm-3 (TEOM FDMS),2.4,V ugm-3 (TEOM FDMS),2.8,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),0.1,V ugm-3 (TEOM FDMS),1.8,V ugm-3 (TEOM FDMS),313.6,N deg,7,N ms-1,6.7,N degC,19.39577,V ugm-3,35.71084,V ugm-3,65.45061,V ugm-3,11.594,V ugm-3 (Ref.eq),313.1,N deg,7.8,N ms-1,7.2,N degC
2019-04-02,11:00:00,64.46111,V ugm-3,2.30561,V ugm-3,11.84426,V ugm-3,15.37948,V ugm-3,1.50021,V ugm-3,0.05928,V mgm-3,7.5,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),4.5,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),3.6,V ugm-3 (TEOM FDMS),304.2,N deg,6.9,N ms-1,7,N degC,10.90198,V ugm-3,22.55422,V ugm-3,39.27036,V ugm-3,18.358,V ugm-3 (Ref.eq),304.3,N deg,7.6,N ms-1,7.4,N degC
2019-04-02,12:00:00,64.81036,V ugm-3,2.47514,V ugm-3,12.15012,V ugm-3,15.94528,V ugm-3,1.73708,V ugm-3,0.077063,V mgm-3,16.2,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),2.3,V ugm-3 (TEOM FDMS),6.3,V ugm-3 (TEOM FDMS),3.4,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),302.9,N deg,6.4,N ms-1,7.4,N degC,6.34593,V ugm-3,15.99154,V ugm-3,25.72183,V ugm-3,14.493,V ugm-3 (Ref.eq),301.6,N deg,7.1,N ms-1,7.5,N degC
2019-04-02,13:00:00,62.21595,V ugm-3,3.01764,V ugm-3,15.79327,V ugm-3,20.42025,V ugm-3,0.78959,V ugm-3,0.085955,V mgm-3,6,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),-0.6,V ugm-3 (TEOM FDMS),5.4,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),0.3,V ugm-3 (TEOM FDMS),296.7,N deg,6.6,N ms-1,7.6,N degC,4.03536,V ugm-3,15.81616,V ugm-3,22.00363,V ugm-3,10.628,V ugm-3 (Ref.eq),298.4,N deg,6.8,N ms-1,7.8,N degC
2019-04-02,14:00:00,69.15101,V ugm-3,2.57686,V ugm-3,13.02288,V ugm-3,16.97401,V ugm-3,1.10542,V ugm-3,0.077063,V mgm-3,10.3,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),2.5,V ugm-3 (TEOM FDMS),-0.5,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),293.1,N deg,6,N ms-1,7.5,N degC,6.9968,V ugm-3,24.21268,V ugm-3,34.94095,V ugm-3,7.73,V ugm-3 (Ref.eq),293.5,N deg,6.3,N ms-1,7.8,N degC
2019-04-02,15:00:00,69.8495,V ugm-3,2.16999,V ugm-3,12.8752,V ugm-3,16.20247,V ugm-3,1.34229,V ugm-3,0.082991,V mgm-3,8.7,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),2.8,V ugm-3 (TEOM FDMS),1.4,V ugm-3 (TEOM FDMS),-0.4,V ugm-3 (TEOM FDMS),1.8,V ugm-3 (TEOM FDMS),286.5,N deg,5.7,N ms-1,7.3,N degC,6.21576,V ugm-3,14.81591,V ugm-3,24.34661,V ugm-3,7.73,V ugm-3 (Ref.eq),287.2,N deg,5.8,N ms-1,7.8,N degC
2019-04-02,16:00:00,73.49165,V ugm-3,1.6953,V ugm-3,11.23697,V ugm-3,13.83639,V ugm-3,0.86854,V ugm-3,0.071135,V mgm-3,4.1,V ugm-3 (TEOM FDMS),3.7,V ugm-3 (TEOM FDMS),0.4,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),3.1,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),290.7,N deg,5.7,N ms-1,6.9,N degC,10.67418,V ugm-3,22.90352,V ugm-3,39.27036,V ugm-3,14.493,V ugm-3 (Ref.eq),284.8,N deg,6.4,N ms-1,7.7,N degC
2019-04-02,17:00:00,75.63703,V ugm-3,1.28843,V ugm-3,9.28901,V ugm-3,11.26457,V ugm-3,0.78959,V ugm-3,0.056316,V mgm-3,-0.4,V ugm-3 (TEOM FDMS),-2.5,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),0.8,V ugm-3 (TEOM FDMS),-1.9,V ugm-3 (TEOM FDMS),2.7,V ugm-3 (TEOM FDMS),296.1,N deg,3.3,N ms-1,6,N degC,14.22139,V ugm-3,23.72945,V ugm-3,45.53529,V ugm-3,8.696,V ugm-3 (Ref.eq),302,N deg,5.4,N ms-1,7.1,N degC
2019-04-02,18:00:00,68.40262,V ugm-3,1.25452,V ugm-3,14.58751,V ugm-3,16.51108,V ugm-3,0.63167,V ugm-3,0.068172,V mgm-3,3.7,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),1.5,V ugm-3 (TEOM FDMS),0,V ugm-3 (TEOM FDMS),-0.7,V ugm-3 (TEOM FDMS),0.7,V ugm-3 (TEOM FDMS),287,N deg,2.4,N ms-1,5.4,N degC,21.28328,V ugm-3,44.5316,V ugm-3,77.1655,V ugm-3,17.392,V ugm-3 (Ref.eq),304.3,N deg,4.1,N ms-1,6.8,N degC
